127.0.0.1 - - [01/Oct/2024:10:12:08 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/ HTTP/1.1" 200 26262
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/css/common/main.css HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/imgs/Logo.png HTTP/1.1" 200 13816
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/css/common/header.css HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/imgs/Kalimero.jpg HTTP/1.1" 200 125042
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/imgs/lewis.jpg HTTP/1.1" 200 80062
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/imgs/Ellipse.jpg HTTP/1.1" 200 54733
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/imgs/Diago.jpg HTTP/1.1" 200 107289
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/css/common/footer.css HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/imgs/Liberta.jpg HTTP/1.1" 200 95674
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/imgs/Andiamo.jpg HTTP/1.1" 200 71987
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/imgs/SignatureKnot.jpg HTTP/1.1" 200 36780
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:28:15 +0900] "GET /test/resources/imgs/Orbit.jpg HTTP/1.1" 200 103258
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/ HTTP/1.1" 200 26262
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/css/common/main.css HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/imgs/Logo.png HTTP/1.1" 200 13816
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/imgs/Kalimero.jpg HTTP/1.1" 200 125042
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/css/common/header.css HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/imgs/lewis.jpg HTTP/1.1" 200 80062
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/imgs/Ellipse.jpg HTTP/1.1" 200 54733
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/imgs/Diago.jpg HTTP/1.1" 200 107289
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/css/common/footer.css HTTP/1.1" 200 2321
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/imgs/Andiamo.jpg HTTP/1.1" 200 71987
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/imgs/Liberta.jpg HTTP/1.1" 200 95674
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/imgs/SignatureKnot.jpg HTTP/1.1" 200 36780
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:48 +0900] "GET /test/resources/imgs/Orbit.jpg HTTP/1.1" 200 103258
0:0:0:0:0:0:0:1 - - [01/Oct/2024:10:49:51 +0900] "GET /favicon.ico HTTP/1.1" 404 819
